op;max_error;core_type;hash;size;flops;mean;dev;sum;sum2;n
sgemm;40;0;0b0dbeb1;12582912;0.000000e+00;5.612962e+04;3.066430e+03;3.255518e+06;1.832764e+11;58
sgemm;40;0;0b0dbeb1;12582912;0.000000e+00;5.627000e+04;2.848863e+03;3.263660e+06;1.841168e+11;58
sgemm;40;0;0b0dbeb1;12582912;0.000000e+00;5.622777e+04;2.876456e+03;3.204983e+06;1.806807e+11;57
sgemm;40;0;0b0dbeb1;12582912;0.000000e+00;5.773790e+04;4.662918e+02;2.598206e+06;1.500247e+11;45
sgemm;40;0;0b0dbeb1;12582912;0.000000e+00;5.757538e+04;8.289450e+02;2.590892e+06;1.492025e+11;45
sgemm;40;0;0b0dbeb1;12582912;0.000000e+00;5.771791e+04;5.065485e+02;2.597306e+06;1.499226e+11;45
sgemm;40;0;0b0dbeb1;12582912;0.000000e+00;5.774384e+04;5.698337e+02;2.598473e+06;1.500604e+11;45
sgemm;40;0;0b0dbeb1;12582912;0.000000e+00;5.772246e+04;5.082307e+02;2.597511e+06;1.499463e+11;45
sgemm;40;0;0b0dbeb1;12582912;0.000000e+00;5.775099e+04;5.851367e+02;2.598795e+06;1.500984e+11;45
sgetrf_nopiv;40;0;aa6d4ef7;4194304;0.000000e+00;9.398802e+03;1.761900e+02;9.398802e+04;8.836853e+08;10
sgetrf_nopiv;40;0;aa6d4ef7;4194304;0.000000e+00;9.398802e+03;1.761900e+02;9.398802e+04;8.836853e+08;10
sgetrf_nopiv;40;0;aa6d4ef7;4194304;0.000000e+00;9.076636e+03;2.202169e+01;9.076636e+04;8.238581e+08;10
sgetrf_nopiv;40;0;aa6d4ef7;4194304;0.000000e+00;9.038568e+03;2.651135e+01;9.038568e+04;8.169642e+08;10
sgetrf_nopiv;40;0;aa6d4ef7;4194304;0.000000e+00;9.065858e+03;2.367461e+01;9.065858e+04;8.219034e+08;10
sgetrf_nopiv;40;0;aa6d4ef7;4194304;0.000000e+00;1.945133e+04;9.958466e+01;1.945133e+05;3.783642e+09;10
sgetrf_nopiv;40;0;aa6d4ef7;4194304;0.000000e+00;9.058004e+03;1.131846e+02;9.058004e+04;8.206025e+08;10
sgetrf_nopiv;40;0;aa6d4ef7;4194304;0.000000e+00;1.960300e+04;2.757612e+02;1.960300e+05;3.843536e+09;10
sgetrf_nopiv;40;0;aa6d4ef7;4194304;0.000000e+00;9.046928e+03;2.192309e+01;9.046928e+04;8.184739e+08;10
sgetrf_nopiv;40;0;aa6d4ef7;4194304;0.000000e+00;1.948631e+04;1.546432e+02;1.948631e+05;3.797402e+09;10
